Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,ChoseMis_IT_C,ChoseMis_IT_W,ChoseCorr_IT_C,ChoseCorr_IT_W,ChoseFoil_IT_C,ChoseFoil_IT_W,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,
123,3,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.63,0.38,0.00,0.63,0.00,0.38,0.38,,,,,,,,,,,,,84,20,,62,33,,95,,50,,,,,,,,,,,,,,,,,,,,,,,18,87.5,100,100,5.5,40,60,100,45,67.5,100,100,,,,,0.5,1,1,1,0.5,0.5,0.5,1,0,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,
124,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.13,0.13,0.63,0.13,0.25,0.13,,,,,,,,,,,,,82,5,,59,0,98,27,1,75,,,,,,,,,,,,,,,,,,,,,,,12.5,77.5,99.5,100,5,35,87.5,98.5,0.5,15,52.5,75,,,,,0.5,1,1,1,0.5,1,1,0.5,0.5,1,1,0,,,,,,,,,,,,,,,,,,,,,,
125,2,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.63,0.38,0.00,0.75,0.00,0.25,0.25,,,,,,,,,,,,,91,62,90,80,73,,98,,75,,,,,,,,,,,,,,,,,,,,,,,50,77.5,92.5,100,50,67.5,92.5,100,70,97.5,100,100,,,,,0,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,
126,3,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.25,0.63,0.13,0.50,0.25,0.25,0.13,,,,,,,,,,,,,90,,,45,20,30,83,55,35,,,,,,,,,,,,,,,,,,,,,,,60,100,100,100,15,20,30,45,30,50,75,100,,,,,1,1,1,1,0,0,0,1,0.5,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
127,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.13,0.13,0.13,0.25,0.63,0.50,,,,,,,,,,,,,76,40,,78,50,40,80,30,63,,,,,,,,,,,,,,,,,,,,,,,35,65,87.5,99,40,55,85,100,30,47.5,70,80,,,,,0.5,1,1,1,0.5,0.5,1,1,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,
128,2,NT,NW,,,,,,,,,,,,,0.63,0.25,0.13,0.63,0.38,0.00,0.25,0.38,0.38,0.38,,,,,,,,,,,,,46,38,50,80,58,,100,32,65,,,,,,,,,,,,,,,,,,,,,,,10,37.5,50,80,37.5,60,90,100,22.5,40,82.5,99.5,,,,,1,0,0.5,1,0.5,0.5,0.5,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
129,3,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.75,0.00,0.25,0.25,0.63,0.13,-0.13,,,,,,,,,,,,,100,88,,75,,100,100,80,100,,,,,,,,,,,,,,,,,,,,,,,87.5,100,100,100,25,100,100,100,50,100,100,100,,,,,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
130,3,NT,NW,,,,,,,,,,,,,0.25,0.50,0.25,0.50,0.50,0.00,0.63,0.25,0.13,0.13,,,,,,,,,,,,,100,53,80,85,48,,68,85,50,,,,,,,,,,,,,,,,,,,,,,,40,60,85,100,40,55,80,90,50,60,70,100,,,,,0,0,0.5,0.5,0,0,1,1,0.5,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
133,3,NT,NW,,,,,,,,,,,,,0.88,0.00,0.13,0.63,0.13,0.25,0.75,0.25,0.00,-0.25,,,,,,,,,,,,,64,,10,47,20,35,86,46,,,,,,,,,,,,,,,,,,,,,,,,15,47.5,77.5,89,15,20,52.5,74,45.5,73,89.5,94.5,,,,,0.5,1,1,1,0.5,0.5,0.5,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
134,2,NT,NW,,,,,,,,,,,,,0.75,0.00,0.25,0.50,0.25,0.25,0.38,0.38,0.25,0.00,,,,,,,,,,,,,47,,25,58,25,35,70,47,65,,,,,,,,,,,,,,,,,,,,,,,20,25,50,70,20,25,55,75,35,50,75,80,,,,,1,0,1,1,0.5,0,0.5,1,0,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,
