Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,3,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.25,0.38,0.38,0.25,0.63,0.13,-0.25,,,,,,,,,,,,,60,5,20,54,13,13,38,22,10,,,,,,,,,,,,,,,,,7,15,55,94.5,5,7.5,17.5,64,5,10,27.5,55,,,,,0.5,0.5,0.5,1,0,0,0.5,0.5,0,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.38,0.38,0.25,0.13,0.50,0.38,0.13,,,,,,,,,,,,,76,70,20,37,70,63,20,58,67,,,,,,,,,,,,,,,,,35,60,85,92.5,15,45,80,82.5,20,55,65,85,,,,,0.5,0.5,1,1,1,0,0.5,0,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.38,0.50,0.13,0.50,0.00,0.50,0.38,,,,,,,,,,,,,51,13,50,37,15,10,61,,22,,,,,,,,,,,,,,,,,7.5,25,50,65,5,10,25,50,5.5,17.5,50,92.5,,,,,0,0.5,0.5,1,0,0.5,0,1,0,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,3,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.88,0.13,0.00,0.50,0.25,0.25,0.25,,,,,,,,,,,,,89,100,,100,100,,100,48,50,,,,,,,,,,,,,,,,,62.5,100,100,100,100,100,100,100,37.5,60,100,100,,,,,1,0.5,1,1,0.5,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.63,0.13,0.25,0.38,0.25,0.38,0.13,,,,,,,,,,,,,100,10,80,72,50,70,100,50,57,,,,,,,,,,,,,,,,,35,100,100,100,25,60,90,100,10,75,100,100,,,,,0,0.5,1,1,0.5,0.5,0.5,1,0,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.63,0.13,0.25,0.38,0.25,0.38,0.13,,,,,,,,,,,,,65,10,10,82,0,17,47,20,57,,,,,,,,,,,,,,,,,10,30,70,95,1.5,40,80,100,0,25,60,90,,,,,0,1,1,1,0,0.5,1,1,0.5,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,3,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.50,0.25,0.25,0.63,0.13,0.25,0.00,,,,,,,,,,,,,78,80,,68,55,50,90,30,90,,,,,,,,,,,,,,,,,35,80,100,100,10,50,80,100,45,85,100,100,,,,,1,0,1,1,0.5,0.5,0,1,0.5,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,1,NT,NW,,,,,,,,,,,,,0.63,0.25,0.13,0.50,0.38,0.13,0.38,0.38,0.25,0.13,,,,,,,,,,,,,80,60,80,75,57,100,73,68,65,,,,,,,,,,,,,,,,,60,75,80,85,50,70,75,90,50,67.5,70,90,,,,,0,1,1,0.5,0,1,0.5,0.5,0.5,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,3,NT,NW,,,,,,,,,,,,,0.38,0.50,0.13,0.13,0.38,0.50,0.13,0.75,0.13,-0.38,,,,,,,,,,,,,50,38,50,50,50,63,50,34,0,,,,,,,,,,,,,,,,,26.5,50,50,50,50,50,50,75,0,26.5,50,50,,,,,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1,NT,NW,,,,,,,,,,,,,0.38,0.38,0.25,0.38,0.50,0.13,0.38,0.25,0.38,0.25,,,,,,,,,,,,,100,53,40,50,35,40,53,30,73,,,,,,,,,,,,,,,,,40,50,80,100,20,30,45,70,20,40,60,100,,,,,0,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
